Template,Query,PCScore,SMILES
STB_C010_075,6176,0.6722,O=C(COC(=O)c1cccc(NC(=O)c2cc3ccccc3oc2=O)c1)c1ccccc1
STB_C010_075,8600,0.6717,O=P(N=C(Nc1ccccc1)c1ccccc1)(Oc1ccccc1)Oc1ccccc1
STB_C010_075,12329,0.6715,O=C(c1cncn(Cc2cccs2)c1=O)N(CCc1ccccc1)Cc1ccccc1
STB_C010_075,6358,0.6709999999999999,O=C(CCc1cnc(c2cccnc2)[nH]c1=O)Nc1cccc(OCc2ccncc2)c1
STB_C010_075,4323,0.6706,O=C(Nc1nccs1)c1cc(=O)[nH]c2ccc(S(=O)(=O)Nc3ccccc3)cc12
STB_C010_075,9527,0.6702,O=C(CSc1nnc(c2ccccc2)c2ccccc12)NC(=O)NCc1ccccc1
STB_C010_075,1327,0.67,O=C(Nc1cccc(C=Cc2ccccn2)c1)c1ccccc1CSc1ncccn1
STB_C010_075,1695,0.6699,S=C(Sc1nc(Nc2ccccc2)nc(Nc2ccccc2)n1)N1CCOCC1
STB_C010_075,9779,0.6694,O=S(=O)(c1ccccc1)N1CCN(S(=O)(=O)c2ccccc2)C1c1ccccc1
STB_C010_075,6298,0.6692,O=C(Nc1ccccc1)OCc1cnc2ccccc2c1COC(=O)Nc1ccccc1
STB_C010_075,17124,0.6691,O=C(CNc1cccc2ccccc12)Nc1ccc(S(=O)(=O)Nc2cccnc2)cc1
STB_C010_075,17123,0.669,O=C(CNc1cccc2ccccc12)Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1
STB_C010_075,16943,0.669,O=C(COc1cccc2ccccc12)Nc1ccc(S(=O)(=O)Nc2ccccc2)cc1
STB_C010_075,13915,0.669,O=C(CCc1cccc2ccccc12)Nc1ccc(S(=O)(=O)Nc2ccccc2)cc1
STB_C010_075,9296,0.6689,O=C(C=Cc1cccc2ccccc12)Nc1ccc(S(=O)(=O)Nc2ccccc2)cc1
STB_C010_075,15576,0.6689,O=C(CNc1cccc2ccccc12)Nc1cccc(S(=O)(=O)Nc2ccccc2)c1
STB_C010_075,13390,0.6688,O=C(C=Cc1cccc2ccccc12)Nc1ccc(S(=O)(=O)Nc2ccncn2)cc1
STB_C010_075,16942,0.6688,O=C(COc1cccc2ccccc12)Nc1cccc(S(=O)(=O)Nc2ccccc2)c1
STB_C010_075,13389,0.6687,O=C(C=Cc1cccc2ccccc12)Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1
STB_C010_075,12111,0.6685,O=S(=O)(c1ccc(Oc2ccccc2)cc1)N(Cc1ccccc1)Cc1ccccc1
STB_C010_075,13272,0.6685,O=C(NN=Cc1ccccc1OS(=O)(=O)c1ccccc1)c1cccc2ccccc12
STB_C010_075,14091,0.6684,O=S(=O)(c1ccc(Nc2ccncc2)nc1)N(Cc1ccccc1)Cc1ccccc1
STB_C010_075,12362,0.6684,O=S(=O)(c1ccc(Nc2ccccc2)nc1)N(Cc1ccccc1)Cc1ccccc1
STB_C010_075,14134,0.6682,O=S(=O)(c1ccc(Nc2ccccn2)nc1)N(Cc1ccccc1)Cc1ccccc1
STB_C010_075,15566,0.6679999999999999,O=C(Nc1ccccc1)C(Cc1ccccc1)NS(=O)(=O)c1cccc2cccnc12
STB_C010_075,17046,0.6679,O=C(Nc1ccccn1)C(Cc1ccccc1)NS(=O)(=O)c1cccc2cccnc12
STB_C010_075,13928,0.6678,O=C(Cc1ccc(NS(=O)(=O)c2ccccc2)cc1)NCc1cccc2ccccc12
STB_C010_075,13271,0.6676,O=C(NN=Cc1ccc(OS(=O)(=O)c2ccccc2)cc1)c1cccc2ccccc12
STB_C010_075,11893,0.6673,O=C(NCc1nc2ccccc2c(=O)[nH]1)c1ccccc1SC1CCS(=O)(=O)C1
STB_C010_075,16937,0.6673,O=C(CNS(=O)(=O)C=Cc1ccccc1)OCc1nc2ccccc2c2ccccc12
STB_C010_075,14171,0.6672,O=C(CSc1nnc(COc2ccc(Cc3ccccc3)cc2)[nH]1)Nc1ccccc1
STB_C010_075,1483,0.6669,O=c1[nH]c2ccc(S(=O)(=O)NCC(Cc3ccccc3)c3ccccc3)cc2s1
STB_C010_075,7072,0.6668,O=C(C(c1ccccc1)c1ccccc1)N(c1ccccc1)S(=O)(=O)c1ccccc1
STB_C010_075,7336,0.6665,O=C(Nc1ccccc1)c1cc(=O)n(Cc2ccccc2)c(=NCc2ccccc2)s1
STB_C010_075,11660,0.6664,O=C(Nc1ccccc1)c1cc(=O)n(Cc2cccnc2)c(=NCc2cccnc2)s1
STB_C010_075,498,0.6661,O=S(=O)(Nc1cccc2cccnc12)c1cccc(S(=O)(=O)c2ccccc2)c1
STB_C010_075,1768,0.6661,S=C(Nc1ccc(Oc2ccccc2)cc1)N(Cc1ccccc1)Cc1ccccc1
STB_C010_075,5766,0.6658,O=S1(=O)CCCN1c1ccc(CNc2cncc(SCc3ccccc3)n2)cc1
STB_C010_075,951,0.6658,O=C(CSc1cc(c2ccccc2)c(C(=O)Nc2ccccc2)cn1)c1ccccc1
STB_C010_075,14166,0.6657,O=S(=O)(Nc1ccccc1CNc1ccnc(Cc2ccccc2)n1)c1ccccc1
STB_C010_075,14191,0.6656,O=c1cc(CSc2ccccc2NS(=O)(=O)c2ccccc2)nc2scnn12
STB_C010_075,8680,0.6654,O=C(CON=Cc1ccccc1)Nn1c(COc2ccccc2)nc2ccccc2c1=O
STB_C010_075,5598,0.6653,O=C(CSC1CCS(=O)(=O)C1)Nc1ccccc1Cc1nccc2ccccc12
STB_C010_075,4195,0.6648,O=C(Nc1ccc2ccc(=O)oc2c1)c1ccccc1NS(=O)(=O)c1cccs1
STB_C010_075,11044,0.6646,O=C(COc1ccc2ccc(=O)oc2c1)OC(C(=O)Nc1ccccc1)c1ccccc1
STB_C010_075,4382,0.6642,O=C(Oc1ccc(Sc2ccc(OC(=O)c3ccccc3)cc2)cc1)c1ccccc1
STB_C010_075,2595,0.664,O=C1NC(=S)C(=Cc2ccccc2OC(=O)c2cc3ccccc3c(=O)s2)S1
STB_C010_075,7966,0.6639,O=S(=O)(c1ccccc1)N(CCc1ccccc1)Cc1ccc(c2ccccc2)cc1
STB_C010_075,10280,0.6639,O=S(=O)(NC(c1ccccc1)C(Nc1ccccc1)c1ccccc1)c1ccccc1
STB_C010_075,802,0.6639,O=C(OC(C(=O)c1ccccc1)c1ccccc1)c1ccccc1Sc1ccccc1
STB_C010_075,10312,0.6635,O=c1c2ccsc2nc(SCCS(=O)(=O)c2ccccc2)n1c1ccccc1
STB_C010_075,11546,0.6635,O=C(CSc1nc2cc(C(=O)NCc3ccccc3)ccc2c(=O)[nH]1)c1ccccc1
STB_C010_075,15032,0.6633,O=C(Oc1ccc(Oc2ccccn2)cc1S(=O)(=O)c1ccccc1)c1ccccc1
STB_C010_075,12786,0.6631,O=C(Nc1ccccc1)c1nc(SCc2ccccc2)ncc1Sc1ccccc1
STB_C010_075,4381,0.6629999999999999,O=C(Oc1ccccc1Sc1ccccc1OC(=O)c1ccccc1)c1ccccc1
STB_C010_075,2367,0.6628,O=C(Cc1ccccc1)N(Cc1ccccc1)c1cn(Cc2ccccc2)c(=O)[nH]c1=O
STB_C010_075,9507,0.6628,O=C(CSc1nnc(c2ccccc2)c2ccccc12)NCC(=O)Nc1ccccc1
STB_C010_075,14568,0.6622,O=C(CSc1nccc(c2ccccc2)n1)Nc1cccc(Sc2ccccn2)c1
STB_C010_075,14571,0.6622,O=C(Nc1cccnc1)c1nc(SCc2ccccc2)ncc1Sc1ccccc1
STB_C010_075,508,0.662,O=S(=O)(c1ccccc1)c1cnn(S(=O)(=O)c2ccccc2)c1c1ccccc1
STB_C010_075,501,0.6619,O=C(OCc1nc2ccccc2s1)c1ccccc1NS(=O)(=O)c1ccccc1
STB_C010_075,2329,0.6619,O=C(OCc1nc2ccccc2s1)c1ccccc1OS(=O)(=O)c1ccccc1
STB_C010_075,15372,0.6615,O=S(=O)(Nc1ccccc1)c1ccccc1Oc1ccc(OCc2ccccc2)cc1
STB_C010_075,3791,0.6613,O=c1cc(SCCN2CCOCC2)n(c2ccccc2)c(=S)n1c1ccccc1
STB_C010_075,239,0.6612,O=C(CN(c1ccc2c(c1)OCCO2)S(=O)(=O)c1ccccc1)Nc1ccccc1
